Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
View together pass husband.,211.55,24,856.73
Really it industry though yard.,588.86,51,713.6
Purpose billion training shake shake talk.,180.34,34,742.35
Air Mr money the watch always kind.,359.48,32,990.19
Dog window teach new guy only able section.,673.36,43,290.64
Yet suggest often option.,279.99,59,188.66
Trial history since at second boy.,711.05,61,523.04
Finish significant old stage evening build.,348.12,25,970.86
Scientist blue really he thank.,130.41,31,508.68
Behavior establish white audience smile try.,209.97,64,482.95
